,Subsector Wise Standards,,"Generated On: Aug 31, 2026 10:08 AM"
979,Water Quality for Industrial Purposes ,Water Quality related to all types of Boilers,9
980,Water Quality for Industrial Purposes ,Water Treatment Chemicals,7
981,Water Quality for Industrial Purposes ,Water Treatment Technologies (Raw Water for different Industries),12
982,"Water Resources Projects - Planning, Evaluation, Management and Safety",Environmental Assessment and Management,4
983,"Water Resources Projects - Planning, Evaluation, Management and Safety",Management & evaluation of project progress,17
984,"Water Resources Projects - Planning, Evaluation, Management and Safety",Measurement and Cost Analysis,30
985,"Water Resources Projects - Planning, Evaluation, Management and Safety",Project reports,7
986,"Water Resources Projects - Planning, Evaluation, Management and Safety",Safety,12
987,Welding and its application,Brazing,2
988,Welding and its application,Electrodes/consumables,26
989,Welding and its application,Fusion-Arc Welding,58
990,Welding and its application,Fusion-Gas welding,12
991,Welding and its application,Others,35
992,Welding and its application,Quality management,23
993,Welding and its application,Recommendations for welding process,20
994,Welding and its application,Test methods,23
995,Welding and its application,Welding Consumables,38
996,Welding and its application,Welding with pressure,17
997,Wind Turbines,Components,2
998,Wind Turbines,Design Aspects,20
999,Winding Wires,Winding Wire,55
1000,Wire Ropes,Wire Ropes,2
1001,"Wool, Wool Products & Textile Floor Coverings",Textile Floor Coverings,29
1002,"Wool, Wool Products & Textile Floor Coverings",Wool Products,29
1003,Wrought Steel Products,Coated Steel,8
1004,Wrought Steel Products,Electrical Steel,7
1005,Wrought Steel Products,Flat Products,43
1006,Wrought Steel Products,Long products,36
1007,Wrought Steel Products,Tinplate and backplate,5
1008,Yoga,Yoga equipment,4
1009,Yoga,Yoga Terminology,1
